epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,499.702,1.9452,3.1496,1.70682,0.4497,0.31511,0.29549,0.15334,1.97886,2.45826,1.64671,0.0033317,0.0033317,0.0033317
2,1011.94,1.90618,2.31239,1.64618,0.44966,0.27054,0.24634,0.11849,2.12089,2.74201,1.83385,0.00657705,0.00657705,0.00657705
3,1515.56,2.01505,2.51975,1.76156,0.3751,0.23743,0.20733,0.09562,2.13099,2.72343,1.88098,0.00973441,0.00973441,0.00973441
4,2019.64,2.0227,2.53969,1.79078,0.42869,0.29953,0.27328,0.12872,2.06,2.50259,1.85746,0.009604,0.009604,0.009604
5,2522.28,1.93031,2.35988,1.72334,0.60498,0.325,0.33399,0.16928,1.91997,2.27367,1.72392,0.009472,0.009472,0.009472
6,3027.9,1.88174,2.26007,1.68564,0.65242,0.3562,0.37664,0.19917,1.89661,2.18614,1.69159,0.00934,0.00934,0.00934
7,3532.58,1.85465,2.18813,1.6622,0.63825,0.39511,0.41331,0.22336,1.83921,2.06821,1.64581,0.009208,0.009208,0.009208
8,4038.4,1.81593,2.12687,1.63532,0.67,0.39511,0.42613,0.23437,1.79832,2.01826,1.63074,0.009076,0.009076,0.009076
9,4544.02,1.79742,2.07345,1.61838,0.69534,0.42023,0.45667,0.25704,1.78167,1.96728,1.60987,0.008944,0.008944,0.008944
10,5049.99,1.77546,2.03343,1.60087,0.69251,0.43218,0.46973,0.26289,1.75509,1.92409,1.5848,0.008812,0.008812,0.008812
11,5555.29,1.75961,1.9931,1.58749,0.69469,0.43853,0.48336,0.2726,1.73712,1.88366,1.57661,0.00868,0.00868,0.00868
12,6060.89,1.74637,1.97045,1.57351,0.71959,0.43347,0.49768,0.28138,1.72952,1.85947,1.55739,0.008548,0.008548,0.008548
13,6566.12,1.74153,1.94665,1.56865,0.70729,0.45323,0.51867,0.28949,1.71345,1.80651,1.54513,0.008416,0.008416,0.008416
14,7072.99,1.72085,1.92641,1.55544,0.71305,0.4581,0.52098,0.29945,1.68582,1.79856,1.52513,0.008284,0.008284,0.008284
15,7579.24,1.7202,1.90719,1.55015,0.60917,0.49051,0.53198,0.30278,1.69363,1.77952,1.51894,0.008152,0.008152,0.008152
16,8085.79,1.70295,1.87788,1.53166,0.61882,0.47314,0.53459,0.30833,1.68163,1.74121,1.51923,0.00802,0.00802,0.00802
17,8591.72,1.69556,1.85565,1.52473,0.6247,0.50545,0.55218,0.31828,1.6723,1.73139,1.50213,0.007888,0.007888,0.007888
18,9097.2,1.68971,1.8353,1.51714,0.63318,0.51602,0.55105,0.31945,1.66962,1.71169,1.50029,0.007756,0.007756,0.007756
19,9603.92,1.67605,1.82168,1.51597,0.58587,0.54682,0.56106,0.32987,1.65976,1.69014,1.49099,0.007624,0.007624,0.007624
20,10109.8,1.67662,1.80556,1.51545,0.51485,0.59192,0.57167,0.33402,1.65389,1.6789,1.49061,0.007492,0.007492,0.007492
21,10616.9,1.66355,1.7869,1.50294,0.60755,0.54456,0.56882,0.3364,1.64719,1.6639,1.48462,0.00736,0.00736,0.00736
